Wall time,Step,Value
1648541437.3596804,100,0.6840381026268005
1648541439.0266368,600,0.47245949506759644
1648541440.6948586,1100,0.8168869614601135
1648541442.2970932,1600,0.7890347838401794
1648541443.9243956,2100,0.6485859751701355
1648541445.5586283,2600,0.5332753658294678
1648541447.17426,3100,0.8926711082458496
1648541448.8229103,3600,0.7368533611297607
1648541450.4217842,4100,0.5798109173774719
1648541452.030507,4600,0.8510257005691528
1648541453.6363902,5100,0.6970604658126831
1648541455.2392704,5600,0.8283116817474365
1648541456.836095,6100,0.8145561218261719
1648541458.456715,6600,0.541007936000824
1648541460.0748255,7100,0.7262542843818665
1648541461.662615,7600,0.8790634274482727
1648541463.2379568,8100,0.981035590171814
1648541464.8300555,8600,0.9045259356498718
1648541466.3989258,9100,0.964802622795105
1648541467.9616535,9600,0.9323594570159912
1648541469.544595,10100,0.7197323441505432
1648541471.1258051,10600,0.9525671601295471
1648541472.6976783,11100,0.6847917437553406
1648541474.2825491,11600,0.5252862572669983
1648541475.8562453,12100,0.9243471026420593
1648541477.437703,12600,0.8001516461372375
1648541479.0024598,13100,0.7856680154800415
1648541480.576428,13600,0.9722761511802673
1648541482.1926086,14100,0.36586636304855347
1648541483.8089452,14600,0.787822425365448
1648541485.3959482,15100,0.7533363103866577
1648541486.9981384,15600,0.7039954662322998
1648541488.5892587,16100,0.7409248948097229
1648541490.1776397,16600,0.5837811231613159
1648541491.759989,17100,0.9960877895355225
1648541493.3445818,17600,0.970795750617981
1648541494.927915,18100,0.8461662530899048
1648541496.4993927,18600,0.994640052318573
1648541498.0799074,19100,0.9452618956565857
1648541499.6542406,19600,0.5877508521080017
1648541501.2608185,20100,0.6508567333221436
1648541502.84109,20600,0.510617196559906
1648541504.4132845,21100,0.8759853839874268
1648541505.9915671,21600,0.8803200721740723
1648541507.571116,22100,0.8715894818305969
1648541509.1739063,22600,0.45183151960372925
1648541510.7394521,23100,0.858978271484375
1648541512.3758452,23600,0.7108156085014343
1648541513.947387,24100,0.9682876467704773
1648541515.5183578,24600,0.7521495223045349
1648541517.119718,25100,0.5885428786277771
1648541518.6801403,25600,0.9551077485084534
1648541520.2725294,26100,0.6561806201934814
1648541521.8543804,26600,0.7266845703125
1648541523.434479,27100,0.7450097799301147
1648541525.0011637,27600,0.9163352847099304
1648541526.578715,28100,0.967186689376831
1648541528.15983,28600,0.7466611266136169
1648541529.732193,29100,0.9887474179267883
1648541531.3144946,29600,0.8804728984832764
1648541532.880023,30100,0.9489956498146057
1648541534.4641807,30600,0.9561833143234253
1648541536.0202298,31100,0.8571491837501526
1648541537.6186202,31600,0.9156790375709534
1648541539.2459114,32100,0.8479439616203308
1648541540.8202665,32600,0.9419780969619751
1648541542.4079657,33100,0.9133265614509583
1648541543.9867396,33600,0.9127403497695923
1648541545.5579536,34100,0.9095706939697266
1648541547.1320388,34600,0.41381776332855225
1648541548.6901197,35100,0.8771097660064697
1648541550.275072,35600,0.8508333563804626
1648541551.8629274,36100,0.7469291687011719
1648541553.4546878,36600,0.9033759832382202
1648541555.0212042,37100,0.8304023742675781
1648541556.6141937,37600,0.7381333112716675
1648541558.1769035,38100,0.941947340965271
1648541559.7564692,38600,0.7620781064033508
1648541561.3350706,39100,0.8629212975502014
1648541562.9178774,39600,0.9202517867088318
1648541564.5081236,40100,0.8777929544448853
1648541566.1002216,40600,0.9497800469398499
1648541567.6949744,41100,0.9636855125427246
1648541569.2844663,41600,0.9550132751464844
1648541570.8944032,42100,0.768510639667511
1648541572.4956636,42600,0.8331899046897888
1648541574.108139,43100,0.8141555190086365
1648541575.7248423,43600,0.9276202321052551
1648541577.314003,44100,0.8722370862960815
1648541578.9095147,44600,0.965921938419342
1648541580.501709,45100,0.7903461456298828
1648541582.1219175,45600,0.9418370723724365
1648541583.7242396,46100,0.7188062071800232
1648541585.334453,46600,0.753226101398468
1648541586.948295,47100,0.9257199168205261
1648541588.5341218,47600,0.8832709789276123
1648541590.132868,48100,0.9736114740371704
1648541591.733796,48600,0.8472546339035034
1648541593.3409889,49100,0.7436875104904175
1648541594.9254668,49600,0.9289180636405945
1648541596.534438,50100,0.921675443649292
1648541598.1387997,50600,0.9353590607643127
1648541599.7295635,51100,0.9002858996391296
1648541601.3305385,51600,0.7476836442947388
1648541602.930647,52100,0.9431800842285156
1648541604.5228906,52600,0.9746193885803223
1648541606.1134706,53100,0.6879182457923889
1648541607.7118316,53600,0.7412590980529785
1648541609.3069167,54100,0.863685131072998
1648541610.9277713,54600,0.9454237222671509
1648541612.5276747,55100,0.9845428466796875
1648541614.1229448,55600,0.7151046991348267
1648541615.7145538,56100,0.7027592658996582
1648541617.3131127,56600,0.993548572063446
1648541618.9583883,57100,0.9653570055961609
1648541620.6833904,57600,0.9705871343612671
1648541622.3516417,58100,0.6247931122779846
1648541623.956514,58600,0.9326242804527283
1648541625.604763,59100,0.7434260845184326
1648541627.2396584,59600,0.9358587861061096
1648541628.9272892,60100,0.8237188458442688
1648541630.615822,60600,0.8674934506416321
1648541632.2431047,61100,0.9236469864845276
1648541633.8779662,61600,0.7113333344459534
1648541635.486964,62100,0.8313909769058228
1648541637.0954356,62600,0.953208863735199
1648541638.6910114,63100,0.892299473285675
1648541640.3157344,63600,0.7047669291496277
1648541641.9355571,64100,0.9203135967254639
1648541643.5406935,64600,0.7733491659164429
1648541645.1458693,65100,0.8951390981674194
1648541646.7569087,65600,0.7377551794052124
1648541648.3788338,66100,0.7565032839775085
1648541649.9736006,66600,0.9625677466392517
1648541651.5661168,67100,0.8369629383087158
1648541653.3371522,67600,0.4128534197807312
1648541655.1384056,68100,0.9410912394523621
1648541657.0551598,68600,0.9731869697570801
1648541659.071048,69100,0.9711225628852844
1648541661.0173326,69600,0.7169285416603088
1648541663.002867,70100,0.7940307855606079
1648541664.6015458,70600,0.8535932302474976
1648541666.2063966,71100,0.9263171553611755
1648541667.8003798,71600,0.937730073928833
1648541669.4081576,72100,0.6928733587265015
1648541671.0140042,72600,0.9246060848236084
1648541672.6101398,73100,0.7626941204071045
1648541674.2142062,73600,0.9435763359069824
1648541675.8049204,74100,0.8319535255432129
1648541677.4048288,74600,0.9283639788627625
1648541678.9829535,75100,0.9809766411781311
1648541680.5803263,75600,0.971697986125946
1648541682.1898296,76100,0.7529723644256592
1648541683.7717874,76600,0.966566801071167
