Wall time,Step,Value
1650285363.333978,100,25.04277229309082
1650285376.6749945,600,30.050384521484375
1650285413.481045,1600,28.507713317871094
1650285434.6897044,2600,24.127605438232422
1650285443.486832,3100,23.304243087768555
1650285452.6416035,3600,33.406063079833984
1650285475.2783964,4100,35.532318115234375
1650285493.521248,4600,33.0765266418457
1650285505.4466317,5100,40.515953063964844
1650285518.1491117,5600,28.143735885620117
1650285531.6371658,6100,33.48744201660156
1650285543.5958118,6600,30.40587043762207
1650285555.4764519,7100,27.835283279418945
1650285562.6429653,7600,31.580442428588867
1650285569.5494313,8100,33.65582275390625
1650285575.4919996,8600,25.03761863708496
1650285582.8985808,9100,23.84322166442871
1650285588.7055628,9600,23.933490753173828
1650285594.3813896,10100,33.24215316772461
1650285600.2387264,10600,24.41797637939453
1650285605.9889452,11100,31.992807388305664
1650285611.867395,11600,32.292415618896484
1650285617.3288238,12100,34.2459831237793
1650285622.5668182,12600,19.234588623046875
1650285633.8451967,13600,25.914779663085938
1650285650.2842417,15100,26.825111389160156
1650285656.2677522,15600,27.709930419921875
1650285662.787855,16100,28.916730880737305
1650285669.3720121,16600,30.880508422851562
1650285674.5990362,17100,31.00946617126465
1650285684.9643211,18100,29.78012466430664
1650285690.1374886,18600,25.675477981567383
1650285695.249819,19100,28.632762908935547
1650285700.346193,19600,28.360002517700195
1650285705.3807306,20100,32.88407897949219
1650285715.3341172,21100,23.068828582763672
1650285720.300842,21600,32.70655822753906
1650285725.2745445,22100,31.35991096496582
1650285730.256224,22600,34.12493896484375
1650285735.2309213,23100,32.42182159423828
1650285740.182682,23600,32.144935607910156
1650285750.1290867,24600,25.735292434692383
1650285755.1007936,25100,30.93916130065918
1650285765.055177,26100,27.152320861816406
1650285769.9869914,26600,32.825050354003906
1650285774.9307714,27100,28.453052520751953
1650285779.847625,27600,33.16755294799805
1650285784.7694654,28100,31.17920684814453
1650285789.712249,28600,26.23964500427246
1650285799.5719151,29600,33.599082946777344
1650285804.483781,30100,35.80180740356445
1650285809.4195557,30600,31.544729232788086
1650285814.3683243,31100,32.17183303833008
1650285819.2931547,31600,34.02462387084961
1650285824.2169898,32100,32.86809158325195
1650285829.1398265,32600,35.771820068359375
1650285834.0686476,33100,26.140270233154297
1650285839.0114315,33600,31.152851104736328
1650285843.940253,34100,30.31761932373047
1650285848.8581321,34600,31.859291076660156
1650285858.7227557,35600,33.95478820800781
1650285863.722359,36100,28.01882553100586
1650285869.1687973,36600,19.00079917907715
1650285874.3668973,37100,33.53453063964844
1650285879.596913,37600,41.17194747924805
1650285884.8568494,38100,30.70145034790039
1650285890.0768914,38600,18.853961944580078
1650285895.3138897,39100,35.22870635986328
1650285900.5588646,39600,34.35627746582031
1650285911.0907047,40600,34.623104095458984
1650285916.2957873,41100,29.304229736328125
1650285926.8844745,42100,26.91887092590332
1650285932.138427,42600,30.31538200378418
1650285937.3734295,43100,28.250926971435547
1650285942.555573,43600,24.090625762939453
1650285947.7107894,44100,34.59025192260742
1650285952.9039032,44600,30.784358978271484
1650285963.2721806,45600,33.607086181640625
1650285968.4952154,46100,27.17499351501465
1650285973.6683831,46600,30.65938377380371
1650285978.8235993,47100,33.46217727661133
1650285984.0087345,47600,31.13800621032715
1650285989.1988578,48100,29.75822639465332
1650285994.3520794,48600,33.68999099731445
1650286004.3623133,49600,26.58757209777832
1650286009.3704305,50100,32.03540802001953
