,Step,Value
0,100,25.04277229309082
1,600,30.05038452148437
2,1600,28.507713317871094
3,2600,24.127605438232425
4,3100,23.304243087768555
5,3600,33.406063079833984
6,4100,35.532318115234375
7,4600,33.0765266418457
8,5100,40.51595306396485
9,5600,28.14373588562012
10,6100,33.48744201660156
11,6600,30.40587043762207
12,7100,27.835283279418945
13,7600,31.580442428588867
14,8100,33.65582275390625
15,8600,25.03761863708496
16,9100,23.84322166442871
17,9600,23.933490753173828
18,10100,33.24215316772461
19,10600,24.41797637939453
20,11100,31.992807388305664
21,11600,32.292415618896484
22,12100,34.2459831237793
23,12600,19.234588623046875
24,13600,25.914779663085938
25,15100,26.82511138916016
26,15600,27.709930419921875
27,16100,28.916730880737305
28,16600,30.88050842285156
29,17100,31.00946617126465
30,18100,29.78012466430664
31,18600,25.675477981567383
32,19100,28.632762908935547
33,19600,28.360002517700195
34,20100,32.88407897949219
35,21100,23.068828582763672
36,21600,32.70655822753906
37,22100,31.35991096496582
38,22600,34.12493896484375
39,23100,32.42182159423828
40,23600,32.14493560791016
41,24600,25.735292434692383
42,25100,30.93916130065918
43,26100,27.152320861816406
44,26600,32.825050354003906
45,27100,28.453052520751957
46,27600,33.16755294799805
47,28100,31.17920684814453
48,28600,26.23964500427246
49,29600,33.599082946777344
50,30100,35.80180740356445
51,30600,31.54472923278809
52,31100,32.17183303833008
53,31600,34.02462387084961
54,32100,32.86809158325195
55,32600,35.771820068359375
56,33100,26.140270233154297
57,33600,31.152851104736328
58,34100,30.31761932373047
59,34600,31.85929107666016
60,35600,33.95478820800781
61,36100,28.01882553100586
62,36600,19.00079917907715
63,37100,33.53453063964844
64,37600,41.17194747924805
65,38100,30.70145034790039
66,38600,18.85396194458008
67,39100,35.22870635986328
68,39600,34.35627746582031
69,40600,34.623104095458984
70,41100,29.304229736328125
71,42100,26.91887092590332
72,42600,30.31538200378418
73,43100,28.250926971435547
74,43600,24.090625762939453
75,44100,34.59025192260742
76,44600,30.784358978271484
77,45600,33.607086181640625
78,46100,27.17499351501465
79,46600,30.65938377380371
80,47100,33.46217727661133
81,47600,31.13800621032715
82,48100,29.75822639465332
83,48600,33.68999099731445
84,49600,26.58757209777832
85,50100,32.03540802001953
86,50600,27.22080612182617
87,51100,35.27944564819336
88,51600,31.10886001586914
89,52100,31.097835540771484
90,52600,26.539918899536133
91,53100,35.744102478027344
92,54100,22.710128784179688
93,54600,34.633182525634766
94,55100,32.36625289916992
95,55600,28.753047943115234
96,56100,30.23648834228516
97,56600,35.343284606933594
98,57100,34.83409881591797
99,57600,31.765213012695312
100,58100,32.48566436767578
101,58600,25.94355010986328
102,59100,36.09462738037109
103,59600,32.729740142822266
104,60100,31.46143913269043
105,60600,30.51820182800293
106,61100,34.32587432861328
107,61600,39.18878936767578
108,62100,33.034141540527344
109,62600,29.91982650756836
110,63100,27.56442070007324
111,63600,31.66090202331543
112,64600,32.14292526245117
113,65100,30.361921310424805
114,66600,31.46835327148437
115,67100,28.807353973388672
116,68100,28.71492576599121
117,68600,26.14644241333008
118,69600,33.83990859985352
119,70600,28.8570499420166
120,71100,31.40310859680176
121,71600,33.170509338378906
122,72100,33.15607070922852
123,72600,31.38873672485352
124,73100,30.68623161315918
125,74100,30.60899353027344
126,74600,25.79379653930664
127,75100,37.43191146850586
128,75600,30.662410736083984
129,76600,24.06085968017578
130,77100,38.24882125854492
131,77600,25.501853942871094
132,78100,36.6418342590332
133,78600,31.25848197937012
134,79100,29.34897804260254
135,79600,33.084041595458984
136,80600,28.89923667907715
137,81100,34.23280334472656
138,82100,28.9879207611084
139,82600,33.97577667236328
140,83600,34.15565490722656
141,84100,30.389711380004883
142,84600,28.1950798034668
143,85600,31.795766830444336
144,86100,32.3054084777832
145,86600,33.068809509277344
146,87600,28.403505325317383
147,88100,31.72484588623047
148,88600,28.9281063079834
149,89100,34.02021408081055
150,90100,36.20047378540039
151,90600,25.87307357788086
152,91100,33.010459899902344
153,91600,19.928028106689453
154,92100,24.412540435791016
155,92600,28.311248779296875
156,93100,29.40027618408203
157,93600,33.136817932128906
158,94100,27.243141174316406
159,95100,36.2496337890625
160,95600,26.786720275878903
161,97100,24.59567070007324
162,99100,31.47037124633789
163,99600,34.226776123046875
164,100600,29.277240753173828
165,101100,31.48601722717285
166,101600,30.810821533203125
167,102600,31.663318634033203
168,103100,28.55066299438477
169,103600,29.83487892150879
170,104100,34.515350341796875
171,104600,32.119171142578125
172,106100,32.53671646118164
173,106600,31.13798141479492
174,107100,30.22281265258789
175,107600,31.853252410888672
